startt-ppa-id,personalInformation_name,company,designation,period
,Aakash Anand,IDAM House of Brands,Founder & CEO,Dec 2021 - Present
,Aakash Anand,Univest.in,Angel Investor,May 2022 - Present
,Aakash Anand,Zippee,Angel Investor,Dec 2022 - Present
,Aakash Anand,Ananta Capital,Partner,Sep 2022 - Mar 2025
,Aakash Anand,Bevzilla | IDAM House Of Brands,Director,Apr 2022 - Mar 2025
,Aakash Anand,Square Yards,VP/Head - SquareConnect,Oct 2016 - Apr 2018
,Aakash Anand,PropKaro,Co-Founder & Chief Executive Officer,Oct 2015 - Mar 2018
,Aakash Anand,NeoSpeak,Marketing Director,Aug 2014 - Apr 2016
,Aakash Anand,AllAboutOutdoor.com,Chief Marketing Officer,Jan 2012 - Jul 2014
,Aakash Anand,Sky TV,Sales Manager & Trainer,Jan 2008 - Dec 2009
,Anup Kumar Yama,Yama Skating Academy,CEO,Mar 2010 - Present
,Anup Kumar Yama,Tejaswini Jewellers,Sales,Mar 2006 - Present
,Anupam Mittal,Shaadi.com,Founder,Oct 2003 - Present
,Anupam Mittal,People Group,Founder & CEO,Dec 2001 - Present
,Anupam Mittal,Mauj Mobile,Founder & MD,Dec 2006 - Nov 2020
,Anupam Mittal,makaan.com,Founder & MD,Mar 2007 - Apr 2015
,Anupam Mittal,Interactive Avenues,Founding Director,Jan 2007 - Mar 2012
,Anupam Mittal,MicroStrategy,Product Manager,Jan 1998 - Dec 2002
,Anurag Agrawal,Aavishkaar Capital,Partner,Jun 2015 - Present
,Anurag Agrawal,Arohan Financial Services Limited,Director,Oct 2012 - Present
,Anurag Agrawal,Ashv Finance,Director,Dec 2012 - Present
,Anurag Agrawal,Aavishkaar Group,Group COO,Apr 2019 - Mar 2021
,Anurag Agrawal,Intellecap,Director,Jul 2005 - Mar 2021
,Anurag Agrawal,ICICI Bank,Assistant Manager,Jun 2003 - Jul 2005
,Anurag Verma,MakeMyTrip,Vice President of Product Management,Jan 2019 - Present
,Anurag Verma,upGrad,Product Management Coach,Jan 2022 - Jan 2023
,Anurag Verma,Hotstar,"Director, Product Management - Ads",Feb 2018 - Jan 2019
,Anurag Verma,InMobi,Senior Product Manager,Dec 2015 - Feb 2018
,Anurag Verma,Easytobook.com (A MakeMyTrip Group Company),Senior Product Manager,Jul 2015 - Dec 2015
,Anurag Verma,MakeMyTrip.com,Product Manager - Mobile,May 2012 - Jun 2015
,Anushka Iyer,Wiggles.in,Founder & CEO,Dec 2018 - Present
,Anushka Iyer,Rennes School of Business,Advisory Board Member,Jun 2024 - Present
,Anushka Iyer,Womenâ€™s Indian Chamber of Commerce and Industry (WICCI),Member,Aug 2020 - Present
,Anushka Iyer,iCustomMadeIt,Operations Specialist,Nov 2016 - May 2019
,Anushka Iyer,FrankfurtRheinMain GmbH International Marketing of the Region,Investment Promotions,Dec 2018 - Mar 2019
,Anushka Iyer,Hope of People Everywhere,Head Of Operations,May 2017 - Jun 2018
,Anusuya Roy,Cora Health,Angel Investor,Jan 2021 - Present
,Anusuya Roy,Treebo Hotels,Finance,Mar 2023 - Jun 2023
,Anusuya Roy,Flipkart,Director,Jul 2015 - May 2022
,Anusuya Roy,KPMG India,"Manager, Risk and Assurance",Oct 2012 - Jun 2015
,Anusuya Roy,KPMG Advisory,nan,Dec 2009 - Sep 2012
,Aradhana Dhand Chatterjee,1Bridge,Consultant,May 2020 - Dec 2022
,Aradhana Dhand Chatterjee,Eko India Financial Services Private Limited,Advisor,Jul 2015 - Apr 2022
,Aradhana Dhand Chatterjee,Sylvant Advisors,Team Member,Sep 2015 - Nov 2018
,Aradhana Dhand Chatterjee,"Ethica India, Advisor to Paras Capital","Director, Investments",Nov 2012 - Dec 2013
,Aradhana Dhand Chatterjee,Avigo Capital Partners,Investment Director,Feb 2007 - Apr 2012
,Aradhana Dhand Chatterjee,Actis Advisers,Associate,May 2003 - Oct 2006
,Aradhana Dhand Chatterjee,DSP Merrill Lynch,Manager - Equity Capital Markets,Jan 2000 - Feb 2003
,Arjun Handa,Claris Limited,Vice Chairman and MD,Nov 2014 - Present
,Arjun Malhotra,Good Capital,General Partner,Sep 2019 - Present
,Arjun Malhotra,Investopad,Co-Founder,Apr 2014 - Dec 2019
,Arjun Malhotra,Highway,Actor,Feb 2013 - Feb 2014
,Arjun Malhotra,Capricorn Investment Group,Analyst,Jan 2011 - Dec 2012
,Arjun Malhotra,Global Investment Group,Vice-President,Jan 2011 - Dec 2012
,Arjun Malhotra,PwC,"Analyst, IBD",Jan 2010 - Dec 2010
,Arjun Malhotra,JM Morgan Stanley,Analyst,Jan 2008 - Dec 2009
,Arjun Malhotra,HSBC,Intern,Jul 2007 - Sep 2007
,Arun Duggal,ICRA Limited,Non-Executive Chairman,Jan 2014 - Present
,Arun Duggal,J. B. Chemicals & Pharmaceuticals Limited,Independent Director,Jul 2024 - Present
,Arun Duggal,ASK AUTOMOTIVE LIMITED,Independent Director,May 2023 - Present
,Arun Duggal,Jubilant Pharma,Former Director,Jul 2018 - Present
,Arun Duggal,"Mangalore Chemicals and Fertilizers Ltd.,(UB Group)",Director,Sep 2015 - Sep 2020
,Arun Duggal,International Asset Reconstruction Co. Pvt. Ltd.,Former Chairman,Nov 2013 - Aug 2020
,Arun Duggal,Info Edge India Ltd,Former Director,Mar 2006 - Dec 2019
,Arun Duggal,Dr. Lalpath Labs,Director,Aug 2015 - Mar 2019
,Arun Duggal,Dish tv india ltd,Former Director,Jan 2007 - May 2018
,Arun Duggal,"Jubilant Energy NV, Netherlands",Former Director,Jul 2005 - Dec 2015
,Arun Duggal,Sanlam Life Insurance,Former Independent Director,Jan 2013 - Jun 2015
,Arun Duggal,ShriramValue,Chairman,Oct 2009 - Nov 2014
,Arun Duggal,"Transparency International, Berlin","Senior Advisor, Asia Pacific",Nov 2003 - Mar 2007
,Abhiraj Singh Bhal,Urban Company,Cofounder & CEO,Sep 2014 - Present
,Abhiraj Singh Bhal,The Boston Consulting Group,Consultant,May 2011 - Apr 2014
,Aryan Mhaiskar,Duex farming films,Director,May 2019 - Present
,Aryan Mhaiskar,Avener Capital,Senior Analyst,Mar 2021 - Jul 2023
,Aryan Mhaiskar,IRB INFRASTRUCTURE DEVELOPERS (I) LTD,Student Intern,Sep 2020 - Nov 2022
,Aryan Mhaiskar,Julius Baer,Intern,Jan 2021 - Apr 2021
,Asad Khan,LambdaTest,Co-Founder & CEO,Sep 2017 - Present
,Asad Khan,Multiple companies,Angel Investor,Jan 2020 - Present
,Asad Khan,360logica software testing services,Co-Founder,Oct 2009 - Apr 2017
,Asad Khan,GlobalLogic,Lead Engineer,Jun 2006 - Oct 2009
,Mukul Gupta,Adobe,Senior Computer Scientist - II,Feb 2015 - Present
,Mukul Gupta,Adobe Audience Manager,Member of Technical Staff,Aug 2013 - Jan 2015
,Mukul Gupta,Qualcomm,Interim Engineering Intern,Jun 2012 - Jul 2012
,Mukul Gupta,Memetic Labs,Engineering Intern,Feb 2012 - May 2012
,Mukul Gupta,SEETA,Research Engineer,Jul 2010 - Nov 2010
,Ashish Khandelia,Earnnest.me,Founder,Mar 2021 - Present
,Ashish Khandelia,Certus Capital,Founder,Jul 2018 - Present
,Ashish Khandelia,KKR,Director,Jun 2013 - Jul 2018
,Ashish Khandelia,Morgan Stanley,Head - Acquisitions,Jan 2006 - May 2013
,Ashish Khandelia,"Morgan Stanley Real Estate, India",nan, - 
,Ashish Khandelia,Kotak Mahindra Capital Co Ltd,Associate,Oct 2004 - Mar 2006
,Ashish Khandelia,Ernst & Young,Associate,Jun 2003 - Oct 2004
,Ashish Mehrotra,Northern Arc Capital,Chief Executive Officer & Managing Director,Jul 2021 - Present
,Ashish Mehrotra,FinReach,Board Member,Sep 2022 - Present
,Ashish Mehrotra,Pragati Finserv Private Limited,Non Executive Director & Board Chair,Dec 2021 - Present
,Ashish Mehrotra,Northern Arc Investments,Non Executive Director,Jul 2021 - Present
,Ashish Mehrotra,Max Bupa,CEO & Managing Director,Dec 2015 - Present
,Ashish Mehrotra,Citi,Managing Director & Country Head - Retail Bank,Jan 1993 - Nov 2015
,Ashish Mittal,TurningIdeas Ventures,Chief Mentor and Operator,Oct 2012 - Present
,Ashish Mittal,CAST,"Senior Vice President, Channels APAC",Aug 2021 - Jan 2025
,Ashish Mittal,FarEye,"Head, Global Alliances and Partnerships",Jul 2019 - Aug 2020
,Ashish Mittal,Government of India,Independent Technical Advisor,Jun 2014 - May 2017
,Ashish Mittal,Google India,"Head, Sales Engineering",Jul 2010 - Oct 2012
,Ashish Mittal,Microsoft,Solution Sales Professional,Dec 2007 - Jul 2010
,Ashish Mittal,Oracle Corp,Principal Enterprise Architect,Nov 2004 - Dec 2007
,Ashish Mittal,IBM India,Certified IT Architect,Mar 2000 - Nov 2004
,Ashish Mittal,Ericsson HP Telecom,"Technical Architect, Core Architecture Team",Mar 1998 - Mar 2000
,Ashish Mittal,Tata Consultancy Services,System Analyst,May 1996 - Mar 1998
,Shiva Ashok,Bridgers Consultants & Engineers,Department Manager,Nov 2017 - Present
,Shiva Ashok,Amec Foster Wheeler,Team Lead,Aug 2014 - Nov 2017
,Shiva Ashok,TEBODIN CONSULTANTS & ENGINEERS,Senior Pipeline Engineer,May 2008 - Jul 2014
,Shiva Ashok,Ubiquiti Consultancy Pvt Ltd,Engineering Analyst,Sep 2007 - Mar 2008
,Shiva Ashok,Tavant Technologies,Software & Technical Support Engineer,Sep 2005 - Aug 2007
,Ashutosh Lawania,mfine,Co-founder,Feb 2017 - Present
,Ashutosh Lawania,Myntra.com,Co-Founder,Feb 2007 - Feb 2017
,Ashutosh Lawania,Bytedge Solutions,Co-Founder,Oct 2006 - Dec 2009
,Ashutosh Lawania,Various Startups,Software Engineer,Jan 2001 - Sep 2006
,Piyush Doshi,The Convergence Foundation,Operating Partner,Apr 2022 - Present
,Piyush Doshi,Foundation For Economic Development,Operating Partner,Apr 2022 - Present
,Piyush Doshi,Faering Capital,Director,Apr 2019 - Mar 2022
,Piyush Doshi,BookMyForex,Director,Apr 2019 - Mar 2022
,Piyush Doshi,"Strategy&, part of the PwC network",Partner,Oct 2017 - Mar 2019
,Piyush Doshi,Spencer Stuart,Consultant,Jan 2011 - Sep 2017
,Piyush Doshi,Booz & Co.,Principal,Oct 2008 - Dec 2010
,Piyush Doshi,Boston Consulting Group,Principal,Sep 2007 - Sep 2008
,Piyush Doshi,Booz Allen Hamilton,Associate/Senior Associate/Principal,Feb 1999 - Aug 2007
,Piyush Doshi,Tata Strategic Management Group (TSMG),Consultant,Jun 1996 - Feb 1999
,P K X Thomas,IRIS Business Services Limited,Chief Technology Officer,Sep 2022 - Present
,P K X Thomas,Reliance Brands Limited,Chief Technology Officer,Aug 2017 - Aug 2022
,P K X Thomas,Hopscotch.in,COO,May 2015 - Jul 2017
,P K X Thomas,Reliance Brands Ltd.,CIO - eCommerce,Jul 2012 - Apr 2015
,P K X Thomas,Cleartrip.com,COO,Mar 2009 - Jun 2012
,P K X Thomas,Lionbridge,Service Line Head,Jul 2003 - Feb 2009
,P K X Thomas,Lionbridge India IT (2 Sites),nan, - 
,P K X Thomas,Investment Research and Information Services Limited,CTO,Jan 1999 - Jun 2003
,P K X Thomas,"Business India Information Technology Limited, Mumbai, India",Vice President Technology,Oct 1992 - Dec 1998
,P K X Thomas,"National Center for Software Technology, Mumbai, India",Assistant Manager,Jan 1991 - Oct 1992
,Pooja Khanna,Shyft,Co-Founder,Nov 2019 - Present
,Pooja Khanna,Zomato,Early Core Team,Feb 2011 - Nov 2017
,Pooja Khanna,Standard Chartered Bank,Credit Analyst,Jul 2008 - Apr 2010
,Abhishek Lodhaa,Inner Sense Lingerie,Co-Founder,Dec 2017 - Present
,Abhishek Lodhaa,Morarka Organic Foods Limited,Co Founder,Jan 2011 - Present
,Abhishek Lodhaa,Texperts India Pvt Ltd,Manager International Marketing,May 2010 - May 2011
,Abhishek Lodhaa,Orgofab Exim,Founder,Jan 2007 - May 2010
,Abhishek Lodhaa,Raymond UCO Denim,Management Trainee,Aug 2005 - Aug 2006
,Prachur Sah,Indus Towers Limited,CEO & MD,Jan 2023 - Present
,Prachur Sah,Cairn Oil and Gas,CEO,Aug 2018 - Dec 2022
,Prachur Sah,Schlumberger,Managing Director- India&Bangladesh,Mar 2000 - Aug 2018
,Prajakt Raut,Caret Capital,Co-founder and Managing Partner,Jan 2020 - Present
,Prajakt Raut,Applyifi,Co-founder,Oct 2014 - Dec 2021
,Prajakt Raut,Indian Angel Network,Vice-President,Jun 2013 - Jul 2014
,Prajakt Raut,The Hatch,Founding team member and ED,Oct 2011 - Mar 2013
,Prajakt Raut,Orange Cross,Co-Founder,Jan 2007 - Sep 2011
,Prajakt Raut,The Indus Entrepreneurs (TiE),Asia Director,Mar 2004 - Dec 2006
,Prajakt Raut,Capital Advertising,Client Services Director,Jul 1999 - Dec 1999
,Prajakt Raut,Grey Worldwide,Account Director,Jan 1997 - Jun 1999
,Prajakt Raut,madison,account manager,Jan 1992 - Dec 1995
,Prajakt Raut,Zen Communications,Account Manager,Jul 1991 - Dec 1991
,Prajakt Raut,Trikaya Grey,Trainee Account Executive,Jan 1990 - Dec 1991
,Munish Bhatia,India Accelerator,Co-Founder,Sep 2018 - Present
,Munish Bhatia,Bharat Ventures,Chief Executive Officer,Oct 2022 - Present
,Munish Bhatia,IA Impact Labs,Managing Partner,Apr 2021 - Present
,Munish Bhatia,GetWork,Senior Advisor,Mar 2020 - Present
,Munish Bhatia,IA Finseed,Managing Partner,Apr 2021 - Oct 2024
,Munish Bhatia,AgriKul,Partner,Feb 2020 - May 2022
,Munish Bhatia,DXC Technology,Lean Transformation Lead,Apr 2017 - Apr 2019
,Munish Bhatia,CSC,Lean Lead,Mar 2010 - Mar 2017
,Munish Bhatia,hewitt associates,Information Technology Analyst,Dec 2008 - Mar 2010
,Pramod Ghadge,Unbox Robotics,Co-Founder and CEO,May 2019 - Present
,Pramod Ghadge,Entrepreneur First,Founder in Residence,Jan 2019 - Mar 2020
,Pramod Ghadge,HAX,Founder in Residence,Jun 2019 - Nov 2019
,Pramod Ghadge,Flipkart,Manager - (Robotics and Automation),Feb 2016 - Apr 2019
,Pramod Ghadge,Young Leaders for Active Citizenship (YLAC India),Policy in Action Fellow,Jan 2018 - Mar 2018
,Pramod Ghadge,Provolv Cricket,Co-Founder,Oct 2015 - Feb 2016
,Pramod Ghadge,Metalworks by Maxus,Project Management & Creative Technologist,Aug 2015 - Jan 2016
,Pramod Ghadge,HomeCookish,Co-Founder,Sep 2015 - Dec 2016
,Pramod Ghadge,Nano Dimension,Business Development Associate,Jan 2015 - Jun 2015
,Pramod Ghadge,Pirate3D,Manufacturing Intern,Aug 2014 - Oct 2014
,Pramod Ghadge,Bosch,Business / Sales Intern (Automotive Aftermarket),Feb 2014 - Aug 2014
,Pramod Ghadge,Memom Pte. Ltd.,Product Development Intern,Feb 2014 - Feb 2014
,Pramod Ghadge,Larsen & Toubro,Senior Engineer (New Product Engineering),Jun 2011 - Dec 2013
,Pramod Ghadge,Technovanza,Event Head,Dec 2010 - Feb 2011
,Pranay Prakash,Bluwheelz,Chief Human Resources Officer,Apr 2024 - Present
,Pranay Prakash,Baazi Games,Chief Human Resources Officer,Dec 2022 - Apr 2024
,Pranay Prakash,Self-employed,Independent Consultant,Apr 2021 - Dec 2022
,Pranay Prakash,Delhivery,Head - People Operations,Oct 2015 - Mar 2021
,Pranay Prakash,UnitedHealth Group,Employee Relations,Mar 2013 - Jun 2015
,Pranay Prakash,John Keells BPO,Human Resource Business Partner,Aug 2011 - Mar 2013
,Pranay Swarup,SuperStuff,Co-Founder and CEO,Jan 2024 - Present
,Pranay Swarup,Chtrbox,Director,Jan 2016 - Present
,Pranay Swarup,Letsintern.com,Co-Founder & COO,Jan 2010 - Dec 2016
,Pranay Swarup,NASSCOM,Digital Marketing & Communications Lead,Jan 2009 - Dec 2010
,Pranay Swarup,AIESEC,"Vice President, Marketing (India)",Aug 2004 - Jul 2009
,Prasad V L,Teligenz Tech Solutions Pvt Ltd,CEO & Managing Director,Apr 2013 - Present
,Prasad V L,Sloka Telecom Pvt Ltd,Director,Jan 2011 - Mar 2014
,Prasad V L,Teligenz Ventures,Founder,Jan 2010 - Mar 2013
,Prasad V L,Evolution Capital Management,Director,Jan 2002 - Jul 2009
,Prasad V L,Lehman Brothers Japan,Vice President,Nov 1996 - Mar 2002
,Prasad V L,Citibank Japan,Consultant,Nov 1995 - Oct 1996
,Prasad V L,Tata Consultancy Services,Analyst,Jul 1994 - Oct 1995
,Prashant Mara,BTG Advaya,Managing Partner,May 2014 - Present
,Prashant Mara,International Bar Association,"Officer, Anti-Corruption Committee",Jan 2023 - Present
,Prashant Mara,Osborne Clarke,"Co-Head, India Group",Jun 2009 - May 2014
,Prashant Mara,Franklin sociÃ©tÃ© d'avocats (Law Firm),Associate - India Desk,Jan 2006 - Dec 2009
,Prashant Mara,Infosys,In-House Counsel,Jan 2004 - Dec 2006
,Prashant Pansare,Zvolv,Chief Revenue Officer (CRO),Jul 2024 - Present
,Prashant Pansare,Eagle10 Ventures,Co-Founder & Partner,May 2017 - Present
,Prashant Pansare,German Accelerator,Startup Mentor,Oct 2022 - Present
,Prashant Pansare,Airmeet,"Global Head, Partnerships, GTM",Jul 2021 - Jul 2024
,Prashant Pansare,Medissist,Co-Founder,Apr 2017 - Sep 2019
,Prashant Pansare,Startup Leadership Program India,Director,May 2016 - Apr 2017
,Prashant Pansare,Tapzo (formerly Helpchat),AVP Strategic Partnerships,Aug 2016 - Mar 2017
,Prashant Pansare,Online Prasad,"V.P. Strategy & Business, Co-Founder",Feb 2015 - Aug 2016
,Prashant Pansare,Startup Leadership Program,Fellow,Sep 2014 - Feb 2015
,Prashant Pansare,JustPlay Sports Technologies,Founder - Playerify.com,Sep 2012 - Feb 2015
,Prashant Pansare,FirstRide.in,Resident Entrepreneur,Nov 2014 - Jan 2015
,Prashant Pansare,NDS service Pay TV Technology,Senior Technical Leader and Team Manager,Jun 2010 - Sep 2012
,Prashant Pansare,PACE India,Software Project Leader / Software Team Leader,Jan 2009 - Jun 2010
,Prashant Pansare,Philips Consumer Electronics,Technical Leader,Feb 2006 - Apr 2008
,Prashant Pansare,Tata Elxsi,Senior Software Engineer,Sep 2004 - Feb 2006
,Prashant Pansare,Texas Instruments,Systems Design Engineer,Jul 2001 - Feb 2004
,Prashant Pawar,Qoala,Chief Financial Officer,Jan 2023 - Present
,Prashant Pawar,Houlihan Lokey,"Director, Investment Banking, SEA",Jan 2015 - Dec 2023
,Prashant Pawar,Avendus Capital,"Associate, Investment Banking, Technology",Jan 2013 - Dec 2015
,Prashant Pawar,Silver Spring Capital Management,Quantitative Analyst,Jan 2012 - Dec 2012
,Prashant Pawar,National Instruments,Software Engineer,Jan 2010 - Dec 2011
,Prashant Sachan,AppsForBharat,Founder & CEO,Nov 2020 - Present
,Prashant Sachan,Sri Mandir App,Founder,Feb 2021 - Present
,Prashant Sachan,Indian Startups,Angel Investor,Nov 2020 - Present
,Prashant Sachan,Trell,Co-Founder,Jun 2016 - Jul 2020
,Prashant Sachan,Microsoft,Senior Product Designer,Jun 2015 - Jul 2016
,Prashant Sachan,Samsung R&D,Senior Product Designer,Aug 2014 - Apr 2015
,Prashant Sachan,"Indian Institute of Technology, Bombay",Teaching Assistant,Jul 2012 - Jun 2014
,Prashant Sachan,Informatica,Research Intern,Jan 2014 - May 2014
,Prashant Sachan,IBM Research - India,Research Intern,May 2013 - Oct 2013
,Prashant Sachan,"Customised T-shirts, Souvenirs & Accessories Seller","Sole Operator - Sales, Procurement, Customer Relationship and Fulfilment",Jun 2009 - Jun 2012
,Prashant Sachan,Utthaan,Founder,Feb 2011 - May 2012
,Prashant Sachan,Hindustan Aeronautics Limited,Summer Intern,May 2011 - Jun 2011
,Aditi Shrivastava,Pocket Aces,Co-Founder and CEO,Oct 2015 - Present
,Aditi Shrivastava,Intellecap,"Advisor, Intellecap Impact Investment Network",Sep 2011 - Oct 2018
,Aditi Shrivastava,Goldman Sachs,"Associate, Quantitative Resources Group",Jun 2006 - Sep 2011
,Prashanth Aditya Susarla,101 GenAI,Co-Founder & CTO,Aug 2023 - Present
,Prashanth Aditya Susarla,Bain & Company,Bain External Advisor,Jan 2021 - Dec 2024
,Prashanth Aditya Susarla,Self-Employed,Fractional CTO,May 2020 - Sep 2023
,Prashanth Aditya Susarla,ARTPARK,Technopreneur in Residence,Oct 2020 - Sep 2022
,Prashanth Aditya Susarla,Unilodgers,Chief Technology Officer,Nov 2018 - Apr 2020
,Prashanth Aditya Susarla,PayU Payments Pvt. Ltd.,Chief Technology Officer,Apr 2014 - Nov 2018
,Prashanth Aditya Susarla,Microsoft Corporation,Program Manager II,May 2010 - Aug 2011
,Prashanth Aditya Susarla,"OATSystems, a division of Checkpoint Systems, Inc.",Senior Software Engineer,Sep 2005 - Apr 2009
,Prashanth Aditya Susarla,Andale Information Technologies Pvt. Ltd.,Member of Technical Staff,May 2004 - Aug 2005
,Prashanth Aditya Susarla,OATSystems Software India Pvt. Ltd.,Senior Software Engineer,Feb 2003 - May 2004
,Pratik Singhi,Nine Rivers Capital,Managing Director,May 2018 - Present
,Pratik Singhi,Lakshya Consulting,CEO,Dec 2009 - Present
,Pratik Singhi,IIM Ahmedabad Alumni Association,Honorary Treasurer,Apr 2012 - Present
,Pratik Singhi,Mumbai Angels,Member,Oct 2009 - Present
,Pratik Singhi,Various Fora,Guest Professional Faculty/Trainer (Corporate Finance),May 2005 - Present
,Pratik Singhi,SME,Visiting CFO,Jan 2016 - Mar 2020
,Pratik Singhi,IBSAF,"Member, Board of Governors",Jun 2010 - Jun 2013
,Pratik Singhi,IBS-Mumbai,Visiting Faculty,Apr 2008 - Sep 2010
,Pratik Singhi,an SME in the ME space,CFO,May 2008 - Dec 2009
,Pratik Singhi,NMIMS,Visiting Faculty,Sep 2007 - Sep 2008
,Pratik Singhi,ICICI Bank,AGM,Nov 2007 - May 2008
,Pratik Singhi,EDS India,NBA Manager,Dec 2003 - Oct 2007
,Pratik Singhi,BDO Lodha,Manager,Jul 2001 - Dec 2003
,Pratik Singhi,Zee Telefilms Ltd.,Sr Executive â€“ Corp Fin & EA to Global CFO,Jul 1999 - Jul 2001
,Pratik Singhi,Lodha & Co.,Articled Trainee,May 1993 - Jul 1996
,Nandita Palshetkar,Bloom IVF,Scientific Director & Consultant & Head of Bloom IVF Unit,Jan 1998 - Present
,Pravin Dongre,Indian Oil Corp Limited,Executive Director(SD),Apr 2013 - Present
,Dr. Priti Rao,Pumpkin Patch Daycare Pvt. Ltd.,Managing Director,Jun 2009 - Present
,Dr. Priti Rao,Union Bank of India,Director & Member of Board,Jul 2021 - Present
,Dr. Priti Rao,Aatmaja Foundation,Chairperson,Apr 2015 - Present
,Dr. Priti Rao,BiolMed Innovations Pvt. Ltd.,"Investor, Member of Board",Dec 2019 - Present
,Dr. Priti Rao,ForHealth,"Advisor, Investor and Member of Board",Jun 2023 - Present
,Dr. Priti Rao,vBridge Hub,Advisor & Member Board,Jun 2023 - Present
,Dr. Priti Rao,Vidyarthi Sahayyak Samiti (VSS) Pune,Member Board of Trustees,Mar 2023 - Present
,Dr. Priti Rao,@ Cocktail Orchard (Organic Fruits and vegetables),Managing Partner,Jun 2020 - Aug 2024
